id;nombre;apellidos;email;fechaNac;codigo;imagenurl;hijos;comunidades_id;laborales_id;poblaciones_id;nacionalidades_id;estudios_id;dieteticas_id;dietas_id;dantropometricos_id;deportes_id;sexos_id;created_at;updated_at
34;Ing. Andrea Velásquez;Espinosa;beatriz82@hispavista.com;24/03/2017;3;;3;2;9;1;1;17;1;19;23;9;14;NULL;NULL
35;Lidia Rodríguez;Mondragón;coquendo@espino.com.es;26/06/1970;1;;2;2;1;1;1;8;3;5;15;19;3;NULL;NULL
36;Alicia Armijo;Gurule;eolivera@jaime.net;24/07/1999;4;;2;2;1;1;1;13;1;19;9;5;21;NULL;NULL
37;Daniel Font;Vidal;roybal.victoria@reynoso.es;22/11/2012;4;;1;2;16;1;1;25;3;19;11;8;15;NULL;NULL
38;Dr. Elena Manzano Segundo;Oliva;martina83@terra.com;18/05/2007;1;;1;2;11;1;1;18;4;9;9;9;19;NULL;NULL
39;Sara Valenzuela;Tórrez;patricia29@ozuna.org;27/11/1976;3;;4;2;13;1;1;3;2;4;1;13;22;NULL;NULL
40;Ian Ibáñez;Del Río;tiglesias@villar.net;31/08/2007;4;;3;2;13;1;1;4;2;17;6;21;11;NULL;NULL
41;Joan Pastor;Villegas;abrego.ivan@gmail.com;23/01/1973;1;;3;2;13;1;1;9;2;18;16;1;4;NULL;NULL
42;Alicia Aponte;Rivero;reynoso.carlos@live.com;06/04/1975;1;;3;2;2;1;1;7;2;24;20;21;15;NULL;NULL
43;Dr. Lucas Rosado Segundo;Prieto;david.manzanares@live.com;07/10/1991;1;;3;2;21;1;1;16;4;16;3;16;10;NULL;NULL
44;Zoe Carretero;Escobar;jaramillo.luna@clemente.org;20/12/1988;2;;1;2;10;1;1;13;4;14;12;10;11;NULL;NULL
45;Jan Flores Tercero;Guajardo;adriana46@griego.com;14/04/2014;3;;3;2;13;1;1;17;1;4;15;5;11;NULL;NULL
46;Jimena Nieves Tercero;Benavídez;aaron.armas@pedroza.com;23/02/2009;1;;3;2;10;1;1;13;4;11;7;8;6;NULL;NULL
47;Sra. Valentina Pereira Segundo;Alonso;cmatos@gmail.com;26/10/1998;3;;4;2;16;1;1;16;3;6;6;4;15;NULL;NULL
48;Lic. Sandra Candelaria Segundo;Hernádez;nuria.delvalle@lomeli.com;08/09/1971;4;;1;2;12;1;1;1;3;9;21;17;22;NULL;NULL
49;Aaron Gaytán Segundo;Quintanilla;alonso.villarreal@hotmail.es;17/09/1971;2;;1;2;14;1;1;24;3;1;2;21;8;NULL;NULL
50;Joel Rojas;Bustamante;hector47@zayas.com;03/12/1976;1;;1;2;7;1;1;6;4;9;6;11;4;NULL;NULL
59;lazaro javier;hernandez;lazaro.hernandez@uneatlantico.es;02/10/1966;12334;;0;0;0;0;0;0;0;0;0;0;0;27/06/2018 14:46;27/06/2018 14:46
60;lazaro javier;hernández;lazaro.hernandez@uneatlantico.es;02/10/1966;123;;0;0;0;0;0;0;0;0;0;0;0;27/06/2018 14:52;27/06/2018 14:52
61;iñaki;elio;iñaki.elio@uneatlantico.es;27/06/2018;12334;;0;0;0;0;0;0;0;0;0;0;0;27/06/2018 14:55;27/06/2018 14:55
62;lorenzo;elio;lorenzo.elio@uneatlantico.es;27/06/2018;12334;;0;0;0;0;0;0;0;0;0;0;0;29/06/2018 15:14;29/06/2018 15:14
